year,month,state,locality,lat,lon,individualCount,dataSource
2024,9,New South Wales,,-33.800429,151.296395,1,iNaturalist Australia
2021,1,Western Australia,,-32.057997,115.738011,1,iNaturalist Australia
2021,10,Western Australia,,-32.098746,115.755863,1,iNaturalist Australia
2020,4,New South Wales,,-33.800455,151.297213,1,iNaturalist Australia
2020,1,New South Wales,,-34.064084,151.155363,1,iNaturalist Australia
2020,12,South Australia,,-35.08476,137.749808,1,iNaturalist Australia
2024,5,Tasmania,,-40.995515,147.087767,1,iNaturalist Australia
2024,9,New South Wales,,-33.849226,151.27625,1,iNaturalist Australia
2021,1,Victoria,,-38.318316,144.713386,1,iNaturalist Australia
2022,12,South Australia,,-35.509933,138.213871,1,iNaturalist Australia
2023,3,New South Wales,,-33.80014,151.295537,1,iNaturalist Australia
2023,12,Victoria,,-38.357025,144.773134,1,iNaturalist Australia
2021,8,New South Wales,,-33.839817,151.253608,1,iNaturalist Australia
2019,11,South Australia,,-34.836921,138.47825,1,iNaturalist Australia
2025,3,New South Wales,,-33.83979,151.25358,1,iNaturalist Australia
2021,2,South Australia,,-34.849561,138.473059,1,iNaturalist Australia
2020,11,South Australia,,-35.521367,138.185333,1,iNaturalist Australia
2019,2,Victoria,,-37.911693,144.982861,1,iNaturalist Australia
2024,7,Victoria,,-38.402522,145.098481,1,iNaturalist Australia
2022,8,South Australia,,-35.081733,137.748108,1,iNaturalist Australia
2021,11,South Australia,,-34.987939,138.508221,1,iNaturalist Australia
2025,11,Victoria,,-38.267353,144.6678,1,iNaturalist Australia
2020,12,Western Australia,,-33.65603,115.013664,1,iNaturalist Australia
2020,2,Victoria,,-38.254722,145.278333,1,iNaturalist Australia
2025,11,New South Wales,,-33.91578,151.264039,1,iNaturalist Australia
2025,8,New South Wales,,-33.800244,151.294647,1,iNaturalist Australia
2020,5,New South Wales,,-33.800301,151.295729,1,iNaturalist Australia
2008,3,South Australia,,-35.149003,138.466069,1,iNaturalist Australia
2020,7,Western Australia,,-32.028184,115.77125,1,iNaturalist Australia
2025,11,New South Wales,,-33.799474,151.294407,1,iNaturalist Australia
2012,1,New South Wales,,-33.460906,151.450611,1,iNaturalist Australia
2016,8,New South Wales,,-35.068857,150.68079,1,iNaturalist Australia
2025,2,New South Wales,,-33.839759,151.253742,1,iNaturalist Australia
2021,4,Western Australia,,-32.209327,115.766464,1,iNaturalist Australia
2023,3,South Australia,,-35.149702,138.464487,1,iNaturalist Australia
2025,10,Victoria,,-38.390564,144.251857,1,iNaturalist Australia
2025,5,Victoria,,-38.375443,145.221971,1,iNaturalist Australia
2019,1,New South Wales,,-33.838769,151.252785,1,iNaturalist Australia
2022,1,New South Wales,,-33.799242,151.281142,1,iNaturalist Australia
2022,7,South Australia,,-34.978458,138.509613,1,iNaturalist Australia
2022,12,Western Australia,,-32.050681,115.725216,1,iNaturalist Australia
2020,2,Victoria,,-38.365538,144.823058,1,iNaturalist Australia
2025,1,New South Wales,,-33.799741,151.29467,1,iNaturalist Australia
2016,10,Tasmania,,-40.981075,145.734284,1,iNaturalist Australia
2024,2,Victoria,,-38.212028,145.034242,1,iNaturalist Australia
2023,2,Victoria,,-38.368634,144.821346,1,iNaturalist Australia
2022,3,Western Australia,,-32.137878,115.744005,1,iNaturalist Australia
2025,4,New South Wales,,-33.799729,151.296819,1,iNaturalist Australia
2022,5,New South Wales,,-33.99183,151.229972,1,iNaturalist Australia
2019,1,Victoria,,-38.475452,145.080947,1,iNaturalist Australia
2021,12,South Australia,,-35.044826,138.5059,1,iNaturalist Australia
2025,9,Victoria,,-38.274078,144.658325,1,iNaturalist Australia
2024,12,South Australia,,-35.039979,138.513907,1,iNaturalist Australia
2022,6,Western Australia,,-32.012306,115.78344,1,iNaturalist Australia
2022,3,South Australia,,-35.14837,138.465679,1,iNaturalist Australia
2025,6,New South Wales,,-33.925686,151.25939,1,iNaturalist Australia
2023,7,New South Wales,,-34.002949,151.228117,1,iNaturalist Australia
2021,8,Tasmania,,-41.107796,146.068364,1,iNaturalist Australia
2009,2,South Australia,,-35.443586,138.306478,1,iNaturalist Australia
2025,5,South Australia,,-35.01175,138.512742,1,iNaturalist Australia
2023,1,Tasmania,,-42.921489,147.512762,1,iNaturalist Australia
2023,1,Victoria,,-38.304029,144.99166,1,iNaturalist Australia
2025,11,New South Wales,,-33.839772,151.253505,1,iNaturalist Australia
2022,2,Victoria,,-38.356806,144.773306,1,iNaturalist Australia
2023,1,New South Wales,,-33.799734,151.281109,1,iNaturalist Australia
2022,4,Victoria,,-37.931331,144.9907,1,iNaturalist Australia
2020,12,New South Wales,,-33.446278,151.449091,1,iNaturalist Australia
2019,6,Western Australia,,-32.272263,115.688331,1,iNaturalist Australia
2020,1,Victoria,,-38.357733,144.77298,1,iNaturalist Australia
2023,6,Victoria,,-38.335975,144.746456,1,iNaturalist Australia
2025,1,New South Wales,,-33.799741,151.29467,1,iNaturalist Australia
2020,1,Victoria,,-38.367563,144.82287,1,iNaturalist Australia
2025,10,Victoria,,-38.287086,144.597956,1,iNaturalist Australia
2024,11,Tasmania,,-41.873856,148.303292,1,iNaturalist Australia
2019,3,South Australia,,-35.075349,138.494983,1,iNaturalist Australia
2021,3,Western Australia,,-32.040294,115.734709,1,iNaturalist Australia
2022,11,New South Wales,,-33.851526,151.277512,1,iNaturalist Australia
2022,1,South Australia,,-35.039508,138.512038,1,iNaturalist Australia
2019,4,New South Wales,,-34.597271,150.899834,1,iNaturalist Australia
2025,11,New South Wales,,-33.799807,151.294403,1,iNaturalist Australia
2022,11,South Australia,,-35.039272,138.511183,1,iNaturalist Australia
2022,3,South Australia,,-35.148237,138.465543,1,iNaturalist Australia
2023,1,Victoria,,-38.170425,144.719356,1,iNaturalist Australia
2025,12,South Australia,,-34.718948,135.858647,1,iNaturalist Australia
2025,6,New South Wales,,-33.787308,151.288008,1,iNaturalist Australia
2025,10,Victoria,,-38.3078,144.37557,1,iNaturalist Australia
2020,10,New South Wales,,-33.800532,151.29366,1,iNaturalist Australia
2023,5,Victoria,,-38.368557,144.821378,1,iNaturalist Australia
2024,1,Victoria,,-38.428144,145.063335,1,iNaturalist Australia
2025,11,South Australia,,-35.115543,137.550199,1,iNaturalist Australia
2025,5,South Australia,,-37.505889,140.083988,1,iNaturalist Australia
2023,12,South Australia,,-35.519654,138.185103,1,iNaturalist Australia
2008,12,Tasmania,,-43.009072,147.940349,1,iNaturalist Australia
2024,11,Tasmania,,-41.072542,146.711569,1,iNaturalist Australia
2022,5,Western Australia,,-34.992882,117.943604,1,iNaturalist Australia
2025,6,New South Wales,,-33.992497,151.229507,1,iNaturalist Australia
2023,4,New South Wales,,-33.925686,151.25939,1,iNaturalist Australia
